date,currency,usd_rate
2022-06-30,DOP,54.9162
2022-06-30,CRC,688.505
2022-06-30,GTQ,7.7561
2022-06-30,MXN,20.183
2022-06-30,CLP,919.97
2022-09-30,COP,4532.07
2022-09-30,PEN,3.8977
2022-09-30,UYU,41.736
2022-09-30,ARS,147.32
2022-09-30,DOP,53.7589
2022-09-30,CRC,628.67
2022-09-30,GTQ,7.8837
2022-09-30,MXN,20.147
2022-09-30,CLP,966.0
2022-12-31,COP,4810.2
2022-12-31,PEN,3.8292
2022-12-31,UYU,40.071
2022-12-31,ARS,177.16
2022-12-31,DOP,56.4142
2022-12-31,CRC,598.08
2022-12-31,GTQ,7.8522
2022-12-31,MXN,19.5537
2022-12-31,CLP,859.51
2023-03-31,COP,4627.27
2023-03-31,PEN,3.7796
2023-03-31,UYU,38.648
2023-03-31,ARS,209.01
2023-03-31,DOP,55.1789
2023-03-31,CRC,543.17
2023-03-31,GTQ,7.8034
2023-03-31,MXN,18.059
2023-03-31,CLP,789.32
2023-06-30,COP,4191.28
2023-06-30,PEN,3.651
2023-06-30,UYU,37.408
2023-06-30,ARS,256.7
2023-06-30,DOP,55.5799
2023-06-30,CRC,546.305
2023-06-30,GTQ,7.8458
2023-06-30,MXN,17.0821
2023-06-30,CLP,802.68
2023-09-30,COP,4053.76
2023-09-30,PEN,3.7297
2023-09-30,UYU,38.556
2023-09-30,ARS,349.9501
2023-09-30,DOP,56.8649
2023-09-30,CRC,538.41
2023-09-30,GTQ,7.8583
2023-09-30,MXN,17.4655
2023-09-30,CLP,906.84
2023-12-31,COP,3822.05
2023-12-31,PEN,3.7337
2023-12-31,UYU,39.022
2023-12-31,ARS,828.25
2023-12-31,DOP,58.2565
2023-12-31,CRC,523.045
2023-12-31,GTQ,7.827
2023-12-31,MXN,16.944
2023-12-31,CLP,884.59
2024-03-31,COP,3842.3
2024-03-31,PEN,3.7096
2024-03-31,UYU,37.552
2024-03-31,ARS,876.0
2024-03-31,DOP,59.2729
2024-03-31,CRC,502.995
2024-03-31,GTQ,7.7916
2024-03-31,MXN,16.5738
2024-03-31,CLP,982.38
2024-06-30,COP,4148.04
2024-06-30,PEN,3.7846
2024-06-30,UYU,39.989
2024-06-30,ARS,930.5
2024-06-30,DOP,59.152
2024-06-30,CRC,526.915
2024-06-30,GTQ,7.7687
2024-06-30,MXN,18.2769
2024-06-30,CLP,951.02
2024-09-30,COP,4164.21
2024-09-30,PEN,3.7682
2024-09-30,UYU,41.64
2024-09-30,ARS,990.0
2024-09-30,DOP,60.252
2024-09-30,CRC,519.865
2024-09-30,GTQ,7.7235
2024-09-30,MXN,19.6358
2024-09-30,CLP,896.25
2024-12-31,COP,4409.15
2024-12-31,PEN,3.7349
2024-12-31,UYU,44.066
2024-12-31,ARS,1052.5
2024-12-31,DOP,61.322
2024-12-31,CRC,509.695
2024-12-31,GTQ,7.7062
2024-12-31,MXN,20.7435
2024-12-31,CLP,992.12
2025-03-31,COP,4192.57
2025-03-31,PEN,3.6526
2025-03-31,UYU,42.127
2025-03-31,ARS,1093.5
2025-03-31,DOP,63.4301
2025-03-31,CRC,500.64
2025-03-31,GTQ,7.7116
2025-03-31,MXN,20.4001
2025-03-31,CLP,946.1
2025-06-30,COP,4069.67
2025-06-30,PEN,3.6039
2025-06-30,UYU,39.548
2025-06-30,ARS,1215.0
2025-06-30,DOP,60.0773
2025-06-30,CRC,505.14
2025-06-30,GTQ,7.6845
2025-06-30,MXN,18.848
2025-06-30,CLP,935.74
2025-09-30,COP,3901.29
2025-09-30,PEN,3.5028
2025-09-30,UYU,39.845
2025-09-30,ARS,1400.0
2025-09-30,DOP,62.7841
2025-09-30,CRC,502.325
2025-09-30,GTQ,7.6571
2025-09-30,MXN,18.3386
2025-09-30,CLP,961.24
2025-12-31,COP,3757.08
2025-12-31,PEN,3.3667
2025-12-31,UYU,39.041
2025-12-31,ARS,1480.0
2025-12-31,DOP,63.3035
2025-12-31,CRC,498.6
2025-12-31,GTQ,7.6645
2025-12-31,MXN,17.9728
2025-12-31,CLP,911.18
2026-03-31,COP,3669.96
2026-03-31,PEN,3.4468
2026-03-31,UYU,40.48
2026-03-31,DOP,61.1933
2026-03-31,CRC,464.965
2026-03-31,GTQ,7.6468
2026-03-31,MXN,18.0119
2026-03-31,CLP,931.57
2015-01-31,CRC,536.965
2015-02-28,CRC,534.635
2015-03-31,CRC,533.22
2015-04-30,CRC,532.19
2015-05-31,CRC,536.355
2015-06-30,CRC,534.84
2015-07-31,CRC,534.615
2015-08-31,CRC,535.255
2015-09-30,CRC,534.83
2015-10-31,CRC,534.22
2015-11-30,CRC,532.38
2015-12-31,CRC,538.405
2016-01-31,CRC,538.22
2016-02-29,CRC,535.935
2016-03-31,CRC,535.91
2016-04-30,CRC,537.76
2016-05-31,CRC,538.255
2016-06-30,CRC,547.935
2016-07-31,CRC,549.725
2016-08-31,CRC,552.31
2016-09-30,CRC,552.565
2016-10-31,CRC,553.78
2016-11-30,CRC,552.075
2016-12-31,CRC,554.64
2017-01-31,CRC,555.085
2017-02-28,CRC,561.675
2017-03-31,CRC,560.885
2017-04-30,CRC,564.31
2017-05-31,CRC,573.745
2017-06-30,CRC,573.48
2017-07-31,CRC,572.02
2017-08-31,CRC,574.665
2017-09-30,CRC,571.23
2017-10-31,CRC,569.38
2017-11-30,CRC,565.94
2017-12-31,CRC,569.49
2018-01-31,CRC,569.335
2018-02-28,CRC,569.97
2018-03-31,CRC,565.855
2018-04-30,CRC,565.175
2018-05-31,CRC,566.135
2018-06-30,CRC,566.76
2018-07-31,CRC,566.75
2018-08-31,CRC,572.605
2018-09-30,CRC,582.46
2018-10-31,CRC,606.97
2018-11-30,CRC,599.625
2018-12-31,CRC,608.07
2019-01-31,CRC,611.01
2019-02-28,CRC,607.885
2019-03-31,CRC,599.2
2019-04-30,CRC,598.245
2019-05-31,CRC,587.325
2019-06-30,CRC,580.18
2019-07-31,CRC,570.285
2019-08-31,CRC,571.41
2019-09-30,CRC,580.905
2019-10-31,CRC,582.625
2019-11-30,CRC,562.395
2019-12-31,CRC,573.29
2020-01-31,CRC,570.21
2020-02-29,CRC,569.1
2020-03-31,CRC,583.435
2020-04-30,CRC,567.94
2020-05-31,CRC,573.575
2020-06-30,CRC,580.5
2020-07-31,CRC,585.24
2020-08-31,CRC,594.105
2020-10-31,CRC,608.83
2020-11-30,CRC,604.485
2021-01-31,CRC,612.545
2021-02-28,CRC,612.965
2021-04-30,CRC,616.395
2021-05-31,CRC,616.73
2021-07-31,CRC,619.935
2021-08-31,CRC,623.145
2021-10-31,CRC,638.265
2021-11-30,CRC,629.38
2022-01-31,CRC,642.585
2022-02-28,CRC,644.435
2022-04-30,CRC,666.72
2022-05-31,CRC,685.68
2022-07-31,CRC,671.315
2022-08-31,CRC,649.965
2022-10-31,CRC,618.04
2022-11-30,CRC,598.59
2023-01-31,CRC,553.58
2023-02-28,CRC,560.335
2023-04-30,CRC,546.79
2023-05-31,CRC,543.525
2023-07-31,CRC,544.875
2023-08-31,CRC,537.195
2023-10-31,CRC,533.505
2023-11-30,CRC,531.23
2024-01-31,CRC,516.405
2024-02-29,CRC,513.105
2024-04-30,CRC,504.285
2024-05-31,CRC,525.605
2024-07-31,CRC,524.47
2024-08-31,CRC,519.12
2024-10-31,CRC,512.435
2024-11-30,CRC,508.05
2025-01-31,CRC,508.535
2025-02-28,CRC,505.845
2025-04-30,CRC,505.12
2025-05-31,CRC,506.375
2025-07-31,CRC,505.52
2025-08-31,CRC,506.12
2025-10-31,CRC,501.315
2025-11-30,CRC,492.47
2026-01-31,CRC,495.845
